name,ingredients,diet,flavor,course,state,region,style,category,source
Idli,"split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,spicy,snack,,south,,,indian_food
Kanji,"carrot, yellow mustard, red chilli, black salt",vegetarian,,snack,kerala,south,,,indian_food
Kaara kozhambu,"sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Keerai kootu,"moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Keerai masiyal,"urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Keerai sadam,"greens, tomato, mustard seeds, fenugreek seeds",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Keerai poriyal,"amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Beef Fry,"beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,spicy,main course,kerala,south,,,indian_food
Kootu,"chana dal, urad dal, potato, beans, peas",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Kos kootu,"moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Koshambri,"moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,spicy,main course,karnataka,south,,,indian_food
Kothamali sadam,"chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Kuzhakkattai,"sesame oil, raw rice, jaggery, grated coconut",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Kuzhambu,"pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Masala Dosa,"chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,spicy,snack,,south,chaat,,indian_food
Pachadi,"coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,,main course,,south,,,indian_food
Paniyaram,"yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,,main course,tamil nadu,south,,,indian_food
Papadum,"lentils, black pepper, vegetable oil",vegetarian,spicy,snack,kerala,south,chaat,,indian_food
Paravannam,"raw rice, jaggery, milk",vegetarian,spicy,main course,kerala,south,,,indian_food
Payasam,"rice, cashew nuts, milk, raisins, sugar",vegetarian,sweet,dessert,,south,,,indian_food
Paruppu sadam,"arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,,main course,tamil nadu,south,,,indian_food
Pesarattu,"green moong beans, rice flour",vegetarian,spicy,snack,andhra pradesh,south,,,indian_food
Poriyal,"chana dal, urad dal, beans, coconut, mustard",vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Puli sadam,"urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,,main course,tamil nadu,south,,,indian_food
Rasam,"tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,spicy,main course,,south,,,indian_food
Puttu,"brown rice flour, sugar, grated coconut",vegetarian,,main course,kerala,south,,,indian_food
Sambar,"pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,spicy,main course,,south,,,indian_food
Sandige,"thin rice flakes, black sesame seeds, curry leaves",vegetarian,,main course,karnataka,south,,,indian_food
Sevai,"sevai, parboiled rice, steamer",vegetarian,,main course,,south,,,indian_food
Thayir sadam,"urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,,main course,tamil nadu,south,,,indian_food
Theeyal,"coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,,main course,kerala,south,,,indian_food
Uttapam,"chana dal, urad dal, thick poha, tomato, butter",vegetarian,spicy,snack,,south,chaat,,indian_food
Vada,"urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,spicy,snack,,south,chaat,,indian_food
Chicken Varuval,"meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,spicy,main course,tamil nadu,south,,,indian_food
Upma,"chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,spicy,snack,,,,,indian_food
Amti,"kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,spicy,main course,maharashtra,west,,,indian_food
Zunka,"gram flour, mustard, garlic, turmeric, red chilli",vegetarian,spicy,main course,maharashtra,west,,,indian_food
Kolim Jawla,"baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,spicy,main course,maharashtra,west,,,indian_food
Saath,"urad dal, potatoes, wheat flour, sooji",vegetarian,spicy,main course,gujarat,west,,,indian_food
Bajri no rotlo,"wheat flour, pearl millet flour, hot water",vegetarian,spicy,main course,gujarat,west,,,indian_food
Coconut vadi,"condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Bhakri,"jowar flour, sesame seeds",vegetarian,,main course,maharashtra,west,,,indian_food
Bombil fry,"bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,spicy,main course,maharashtra,west,,,indian_food
Chakali,"rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,spicy,snack,maharashtra,west,chaat,,indian_food
Chevdo,"citric acid, fry, raisins, sugar, chana daal",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Chorafali,"urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Copra paak,"condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,,main course,gujarat,west,,,indian_food
Daal Dhokli,"whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,spicy,main course,gujarat,west,,,indian_food
Kutchi dabeli,"pav, aloo, peanut, pomegranate, star anise",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Dahi vada,"urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,,snack,maharashtra,west,chaat,,indian_food
Dalithoy,"arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,,main course,maharashtra,west,,,indian_food
Dhokla,"rava, coconut, gram flour, mustard, sesame",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Dudhi halwa,"bottle gourd, green, raisins, sugar, clarified butter",vegetarian,sweet,dessert,gujarat,west,,,indian_food
Gatta curry,"yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,spicy,main course,rajasthan,west,,,indian_food
Gud papdi,"wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,sweet,dessert,gujarat,west,,,indian_food
Ghooghra,"dry fruits, semolina, all purpose flour",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Handwo,"bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Halvasan,"whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,sweet,dessert,gujarat,west,,,indian_food
Jeera Aloo,"green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,spicy,main course,gujarat,west,,,indian_food
Kansar,"wheat flour, cashews, rapeseed oil",vegetarian,,main course,gujarat,west,,,indian_food
Keri no ras,"mango, sugar",vegetarian,sour,main course,gujarat,west,,,indian_food
Khakhra,"whole wheat flour, low fat, bengal gram flour",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Khandvi,"green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Kombdi vade,"rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,spicy,snack,maharashtra,west,,,indian_food
Laapsi,"cinnamon, jaggery, clarified butter, dry roasted",vegetarian,spicy,main course,madhya pradesh,central,,,indian_food
Koshimbir,"cucumber, carrot, tomatoes, cilantro",vegetarian,spicy,main course,maharashtra,west,,,indian_food
Methi na Gota,"rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,bitter,main course,gujarat,west,,,indian_food
Mohanthal,"rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,sweet,dessert,gujarat,west,,,indian_food
Muthiya,"bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,bitter,snack,gujarat,west,chaat,,indian_food
Patra,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Pav Bhaji,"pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,spicy,main course,maharashtra,west,,,indian_food
Puri Bhaji,"aloo, urad dal, mustard, ginger, curry leaves",vegetarian,spicy,main course,maharashtra,west,,,indian_food
Sabudana Khichadi,"raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,spicy,snack,maharashtra,west,,,indian_food
Sev khamani,"khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,spicy,main course,gujarat,west,chaat,,indian_food
Sev tameta,"sev, ginger, tomato, sugar",vegetarian,spicy,main course,gujarat,west,chaat,,indian_food
Namakpara,"wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Sukhdi,"whole wheat flour, gur, clarified butter",vegetarian,sweet,dessert,maharashtra,west,,,indian_food
Surnoli,"rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,spicy,snack,maharashtra,west,,,indian_food
Thalipeeth,"whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",vegetarian,spicy,main course,maharashtra,west,,,indian_food
Undhiyu,"sweet potato, surti papdi, baby potatoes, valor papdi, green peas",vegetarian,spicy,main course,gujarat,west,,,indian_food
Veg Kolhapuri,"gobi, potato, beans, khus khus, coconut",vegetarian,spicy,main course,maharashtra,west,,,indian_food
Vindaloo,"chicken, coconut oil, wine vinegar, ginger, green, cinnamon",non vegetarian,spicy,main course,goa,west,,,indian_food
